Name,Link,Short Description,Programming Language,List of tags
ruby-gpgme,https://github.com/github/ruby-gpgme,a ruby interface to GnuPG Made Easy (GPGME).,Ruby,No tags provided
gpgme,https://github.com/github/gpgme,GnuPG Made Easy,C,No tags provided
scripts-to-rule-them-all,https://github.com/github/scripts-to-rule-them-all,Scripts to Rule Them All,Shell,No tags provided
bert,https://github.com/github/bert,BERT (Binary ERlang Term) serialization library for Ruby.,Ruby,No tags provided
user-select-contain-polyfill,https://github.com/github/user-select-contain-polyfill,Polyfills `user-select: contain` property value,JavaScript,No tags provided
jenkins_api_client,https://github.com/github/jenkins_api_client,Ruby Client libraries for communicating with Jenkins Remote Access API,Ruby,No tags provided
ansible-overlay,https://github.com/github/ansible-overlay,An overlay image of Ansible to do boot time dynamic configuration of stateless systems,Shell,No tags provided
looker-slackbot,https://github.com/github/looker-slackbot,A super cool Slack bot for Looker!,CoffeeScript,No tags provided
training-utils,https://github.com/github/training-utils,A series of Bash and ZShell scripts useful when teaching about git and GitHub,Ruby,No tags provided
blakejs,https://github.com/github/blakejs,Pure Javascript implementation of the BLAKE2b and BLAKE2s hash functions,JavaScript,No tags provided
replicate,https://github.com/github/replicate,Dump and load relational objects between Ruby environments.,Ruby,No tags provided
multibinder,https://github.com/github/multibinder,multibinder is a tiny ruby server that makes writing zero-downtime-reload services simpler.,Shell,No tags provided
presto,https://github.com/github/presto,Distributed SQL query engine for big data,Java,No tags provided
omniauth,https://github.com/github/omniauth,OmniAuth is a flexible authentication system utilizing Rack middleware.,Ruby,No tags provided
GITHUB-ENTERPRISE-LICENSE-AGREEMENT,https://github.com/github/GITHUB-ENTERPRISE-LICENSE-AGREEMENT,GITHUB LICENSE AGREEMENT: PLEASE SIGN IN ALL CAPS,Not given,No tags provided
sdr-code-camp,https://github.com/github/sdr-code-camp,learn you some code!,HTML,No tags provided
synsanity,https://github.com/github/synsanity,netfilter (iptables) target for high performance lockless SYN cookies for SYN flood mitigation,C,No tags provided
reactnd-project-readable-starter,https://github.com/github/reactnd-project-readable-starter,Starting server code for ReactND Readable Project,JavaScript,No tags provided
hubstep,https://github.com/github/hubstep,Standard LightStep tracing of GitHub Ruby apps,Ruby,No tags provided
lit-html,https://github.com/github/lit-html,HTML template literals in JavaScript,TypeScript,No tags provided
oauth2_proxy,https://github.com/github/oauth2_proxy,"A reverse proxy that provides authentication with Google, Github or other provider",Go,No tags provided
lightstep-tracer-ruby,https://github.com/github/lightstep-tracer-ruby,The LightStep distributed tracing library for Ruby,Ruby,No tags provided
linux,https://github.com/github/linux,Linux kernel source tree,C,No tags provided
promise.rb,https://github.com/github/promise.rb,Promises/A+ for Ruby,Ruby,No tags provided
d3,https://github.com/github/d3,"Bring data to life with SVG, Canvas and HTML. 📊📈🎉",JavaScript,No tags provided
gh-ost-ci-env,https://github.com/github/gh-ost-ci-env,CI environment for gh-ost testing,Shell,No tags provided
collectd-elasticsearch,https://github.com/github/collectd-elasticsearch,CollectD ElasticSearch plugin,Python,No tags provided
wmail-user-scripts,https://github.com/github/wmail-user-scripts,No short description given,CSS,No tags provided
version_sorter,https://github.com/github/version_sorter,Fast sorting of version numbers,C,No tags provided
putty,https://github.com/github/putty,"mirror of git://git.tartarus.org/simon/putty.git, used for client testing",C,No tags provided
nugget,https://github.com/github/nugget,http integration test service,Ruby,No tags provided
rails,https://github.com/github/rails,Ruby on Rails + GitHub patches,Ruby,No tags provided
mentorships,https://github.com/github/mentorships,GitHub Open Source Mentorships (deprecated),Not given,open-source
